state,state_code,year,minJanuary,minFebruary,minMarch,minApril,minMay,minJune,minJuly,minAugust,minSeptember,minOctober,minNovember,minDecember,maxJanuary,maxFebruary,maxMarch,maxApril,maxMay,maxJune,maxJuly,maxAugust,maxSeptember,maxOctober,maxNovember,maxDecember
Alabama,001,1998,37.8,38.7,42.1,49.7,60.8,69,71.7,68.7,66.5,53.6,46.2,42,57.7,59.7,64.7,73.4,86.3,92.3,91.8,91.2,88.2,80,69.6,60.8
Alabama,001,1999,37.4,39.9,39.5,54.9,56.6,67.1,70.5,69.5,59.8,50.5,42.2,34.6,61.3,63.8,66.2,79.2,82.3,86.2,90.5,94.2,86.8,76.6,70.1,59.4
Alabama,001,2000,35.9,38.4,45.6,46.8,61.6,65.7,68.9,68.2,62.6,49.6,42,28.6,57.1,66.2,72.1,73.4,86.3,89.4,94.9,93.8,85.2,79.7,63.6,49.8
Alabama,001,2001,29.9,41,41.1,52.4,57.8,65.6,69.4,68.8,61.2,46.8,44.1,39.1,52.5,64.1,61.8,77,83.4,86.1,90,88.1,82.6,74.4,73.6,62
Alabama,001,2002,35.3,33.3,41.6,54.8,58.2,65.9,69.8,68.6,67.7,59.7,39.9,34.1,58.3,58.8,68.4,78.1,82.3,88.5,90.8,90.8,86.9,75.8,62.1,56.3
Alabama,001,2003,28.4,37.2,46.9,50.8,61.6,65.7,69.2,69.9,61.6,51.1,45.6,31.6,51.5,58.7,68.3,75.8,81.7,85.5,87.8,89,84.6,75.9,70.9,56.3
Alabama,001,2004,32.6,36,45.4,47.1,61.3,67.9,68.8,65.6,63.9,58.5,48,33.4,55.8,54.6,72.5,75.2,84.1,85.7,89.5,87,83.8,78.4,67.5,56.8
Alabama,001,2005,38.1,40.8,41.7,47.8,55.3,66.9,71.2,71,65.2,51.1,42.7,31.3,60.4,61.6,65.4,74.2,81.2,86.6,89.5,90,88.7,76.5,68.9,55.4
Alabama,001,2006,39.2,34.8,43,53.7,58.5,64.7,69.8,71,60.7,48.8,39.8,36.9,63.1,57.3,69.2,81.2,82.4,91.4,93.9,93.6,84.8,75,65.8,61.8
Alabama,001,2007,36.4,32.1,45.4,46.8,57,65.8,69.2,71.9,64.5,54.6,39.9,40.6,57,57.6,74.6,73.2,85.3,91.8,89.3,96.8,87.5,78.3,67.4,62.6
Alabama,001,2008,32.1,36.1,41.2,50.6,58.5,66.8,68.4,68.4,64.2,50,37.5,39.1,53.9,62.2,69.1,75,82.1,90.6,91.6,88.3,84.8,74.3,64.5,60.3
Alabama,001,2009,33.8,34.8,45.6,48.6,62.2,68,67.3,68.1,66.6,52.9,41.2,35.5,56.7,61.5,68.9,74.2,80.3,90.7,88.9,87.8,83.5,72.8,65.7,54.1
Alabama,001,2010,29.2,30.3,39.7,49.7,62.3,70.1,71.9,72.6,63.1,48.4,42.3,28.9,50.8,50.8,62.6,78.6,84.3,91.6,93.2,93.3,90.6,80.1,68.1,51.8
Alabama,001,2011,30.2,37.2,45.6,52.6,56.8,68.5,71.4,69.4,60.9,46.6,43.1,38.4,52,61.8,69.9,78.8,83,94,91.9,94.2,83.4,74.6,67.5,60.2
Alabama,001,2012,38,41.8,52.8,52.4,61.4,65.3,70.9,68.3,61.9,50,37,40,62.3,62.3,76.3,77.6,85.3,88.4,92.3,87.9,84.1,74.4,65.5,61.8
Alabama,001,2013,40.3,37.2,37.2,50,56.8,68.2,69.2,68.6,63.8,53.5,40,37.6,59.9,58.9,62.3,74.3,79.6,87.7,86.1,87.1,86.1,76.3,63.3,58.2
Alabama,001,2014,24.7,35.9,39.6,50.1,58.2,67.9,67.2,67.9,65.7,52,35.3,39.8,49.8,58.7,65,74.8,82.2,87.8,88.4,91.1,87,78.4,61.2,60.2
Alabama,001,2015,32.5,30,46.8,55.5,60,68.2,71.2,68.2,63.6,53.4,49.1,47,54.6,52.6,68.8,76.6,83.7,89.5,91.9,89.8,85.1,76.6,69.3,66.8
Alabama,001,2016,32.6,38.2,47.9,51.3,58.5,67.5,71.1,71.7,66.3,53.6,42.6,39.6,53.5,61.4,71.4,75.9,82,91,92.8,91.4,90.8,83.3,73,60.6
Alabama,001,2017,42,43.3,46.1,54,57.9,66.8,70.5,69.4,62.4,54.4,43.1,37,62.9,67.8,70.7,80.3,81.9,84.9,90.7,88,84.5,77.2,68.1,56.8
Alabama,001,2018,29,47.9,43.2,46.2,62.7,68.7,70.8,69.4,69.6,56.7,40.1,40,51.8,68.1,67.4,72.8,86.1,89.8,90.6,89.6,89.2,78.2,60.7,58
Alabama,001,2019,36.5,46.2,43.1,50.8,62.5,67.4,70.2,69.7,67,56.9,37.5,41.4,56.6,66,66.8,76.1,85.8,88.8,91,91.5,93.5,78.7,63.6,61.2
Alabama,001,2020,39.2,40.7,53.2,49.4,57,66.7,71,70.4,65,55.8,46.4,33.8,59.8,61.2,73.9,74.6,80.8,87.1,90.7,90.1,83.5,78,70.4,58
Alabama,001,2021,36.7,35.8,47.7,48.7,57.7,67.2,70.1,70.6,64.2,56.9,38.8,45.7,56.6,57.7,71.5,74.6,81,86.8,88.5,89.4,83.7,77.8,65.5,67.8
Alabama,001,2022,32,37.2,43.8,49.4,62.2,68.9,71.8,70.2,62.2,46.8,43.9,39.5,55.8,62.9,71.1,75.5,84.8,91.9,91.6,88.4,85.5,75.6,66.8,58.8
Alabama,001,2023,40.7,45.4,46.1,51,59.4,65.8,71,70.9,64.4,52.5,,,62.4,67.4,71.3,75.5,81.5,87.8,91.6,93.6,87.3,77.9,,
